q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
10	q10	0.003303556814443585	0.3033388544524377	0.0030950399321988255	0.003558690068311869	0.006049663970088152	0.036844568684211224	0.0011782836531899024	0.0030197337621473037	0.0036546152438357957	0.0073299493954822	0.0393528522861704	0.4352841396015796	0.0014136405992949907	0.003783893924976735	0.14879251761163168
11	q11	0.002719177818842379	0.3381270083011627	0.002547546297757243	0.0029291795605210875	0.0049795154141111094	8.446758450933147E-4	9.698524814377044E-4	0.002485561328607996	0.0030081361591825077	0.006033326178102777	0.002909259418771685	0.1813911536430551	0.0011635762232427103	0.062079174199983156	0.3878128571301286
12	q12	0.00579388772832863	0.029450275126245477	0.005428183890602824	0.006241348907810412	0.1362489738887057	0.0017997929298295208	0.0020665130288843063	0.005296109426915288	0.006409585668527196	0.7666887418624269	0.0061989040687753655	0.009582556821855522	0.0024792898625846365	0.006636318915832693	0.009679517872675686
13	q13	0.004024270780671448	0.2822509660035005	0.0037702632234756658	0.004335064678397314	0.0073694769956021075	0.0012500853379258272	0.001435341585815463	0.0036785280311467106	0.004451917180919428	0.05256167947904904	0.0043055836919633035	0.006655773330533848	0.001722044716543456	0.004609399690923377	0.6175796052735324
14	q14	0.04366214912892305	0.030652128846034604	0.0018032503822880113	0.0020733849535727687	0.003524690829764283	5.978937622899726E-4	0.1258987327974387	0.0017593750582505672	0.0021292734439392487	0.6929379065809821	0.002059284717884622	0.003183338958398583	8.236236064603989E-4	0.0022045945500625778	0.08669037238371056
15	q15	0.004409025310031931	0.3092365600415089	0.004130732469004785	0.0047495337489417465	0.1036825707553838	0.0013696041332723575	0.001572572454815241	0.004030226611709684	0.004877558345008965	0.009782768761425873	0.004717234129349405	0.00729212189525253	0.47992923210311794	0.05285435204886665	0.007365907192310178
16	q16	0.00463037703223147	0.12394462220502883	0.004338112713313961	0.0049879804352379225	0.008479413757118175	0.001438364054641293	0.0016515222445487882	0.004232561036809614	0.0051224324076141175	0.662928899439084	0.004954059238103967	0.05786244759336618	0.001981406505311742	0.005303633782234038	0.10814416755535586
17	q17	0.0034262805772737	0.16601166706883252	0.0032100175057426543	0.18943578693002536	0.5635090882870176	0.0010643277618995735	0.0012220556879157633	0.0031319137883589238	0.040939359500695355	0.007602249531879101	0.003665791538793735	0.005666752594948265	0.0014661559042766972	0.0039244617210542395	0.005724091601286416
18	q18	0.02669274465053632	0.23140574293697458	0.002111734550316598	0.0024280813610646312	0.29739254127243264	7.001761528227174E-4	8.039386744670064E-4	0.24644775128003266	0.026932270547057057	0.005001197958539831	0.002411568981440186	0.003727916505576793	9.64521867458E-4	0.0025817371378564617	0.15039807612342457
19	q19	0.015621453893781303	0.04961206802357111	0.0012358550739372137	0.0014209914165368071	0.23125304421837928	4.0976563601995445E-4	4.704908056864681E-4	0.001205785183274823	0.015761632163114506	0.4606016669096993	0.001411327840147157	0.0021816968084083514	0.11498317045855447	0.030115591025145765	0.07371546054374355
20	q20	0.0030827207875778564	0.14936535567112227	0.0028881428330996884	0.003320798904431617	0.005645256287681746	9.576055557641313E-4	0.0010995177971423742	0.0028178707267336903	0.0034103116778601765	0.7755914731440086	0.003298215521087999	0.005098536336568185	0.0013191416120217918	0.003530948343166309	0.03857410480173361
21	q21	0.001811336942742579	0.22523791464865026	0.0016970073418880976	0.0019512262541760137	0.37646131789757414	5.626673446134481E-4	0.02028522508637559	0.04093406368630344	0.002003821933295526	0.31824577716868935	0.0019379567694055313	0.0029957845217625386	7.750977461833213E-4	0.002074705306645066	0.00302609735169519
22	q22	0.02605596958986512	0.27359686003970446	0.0020613575690805264	0.0023701576939315298	0.14716360940204337	6.834729355990343E-4	7.847601259545975E-4	0.0020112021762472305	0.002434045750616842	0.3865736614107418	0.09777698190645334	0.05135045565341388	9.415124887406666E-4	0.002520147899128154	0.003675805358479555
23	q23	0.006182253400692822	0.031424334071984514	0.005792036347750552	0.006659708009452952	0.011321299360920982	0.0019204334779526712	0.0022050318886799435	0.0056511089013513635	0.006839221720251576	0.8180800705676089	0.006614418082762921	0.010224877884600993	0.06967571507722546	0.007081152951046912	0.010328338257717444
24	q24	0.07321249122620621	0.4336057610250649	0.005792036347750552	0.006659708009452952	0.07835153718643438	0.0019204334779526712	0.0022050318886799435	0.0056511089013513635	0.006839221720251576	0.01371721666144815	0.006614418082762921	0.0772551157101144	0.20373619072825225	0.007081152951046912	0.07735857608323085
25	q25	0.12246607002031058	0.16468971747682842	0.00968861893706331	0.011140015231561343	0.35531183274359407	0.00321240182981392	0.003688463336696771	0.009452882791093608	0.011440296485594137	0.022945450810494573	0.011064256583817765	0.01710364706885495	0.004425217567645627	0.011844986539906564	0.24152614257672442
26	q26	0.002008570237895642	0.09732013654387317	0.0018817914878089248	0.002163691850509294	0.003678209784818023	6.239352025334122E-4	0.26204817972494876	0.0018360051610128863	0.0022220145806587754	0.6142307808506199	0.00214897747487146	0.003321990231397723	8.594967770527397E-4	0.0023006163199110873	0.0033556037720882405
